customer_id,name,customer_pin,car_number,policy_no
CUST-1164,Akansha Pal,4386,DL 72 7687,POL-22229721
CUST-1165,Pranav Taneja,4788,KL 02 8472,POL-28419839
CUST-1166,Kartik Sarin,6850,PB 42 3276,POL-95292216
CUST-1167,Kiran Patil,6393,AP 54 4559,POL-50383609
CUST-1168,Komal Pandey,4024,DL 56 7262,POL-78707394
CUST-1169,Ananya Singh,1711,RJ 21 9248,POL-62943730
CUST-1170,Ira Prasad,2361,DL 49 2360,POL-48954273
CUST-1171,Vedant Patel,8499,RJ 52 0394,POL-49035415
CUST-1172,Rishit Reddy,7503,KL 88 2265,POL-52975534
CUST-1173,Nishant Puri,6592,WB 87 9838,POL-83958494
CUST-1174,Latika Goel,9902,TS 63 6634,POL-91172825
CUST-1175,Vedant Kaul,4169,MP 57 5329,POL-99479565
CUST-1176,Tejas Iyer,7148,WB 08 0220,POL-40135315
CUST-1177,Rishit Trivedi,1937,RJ 95 0683,POL-12030128
CUST-1178,Rishit Venkatesh,2020,GJ 38 6717,POL-34098422
CUST-1179,Yuvraj Sodhi,3822,AP 94 3041,POL-73612337
CUST-1180,Aditi Ojha,6094,PB 73 3628,POL-28575898
CUST-1181,Ira Gill,6465,MH 57 6146,POL-78650917
CUST-1182,Divya Zaidi,6838,RJ 72 3201,POL-26133072
CUST-1183,Aishwarya Kothari,1104,UP 39 2389,POL-94636210
CUST-1184,Akansha Chauhan,9057,RJ 57 4073,POL-40619033
CUST-1185,Muskan Hegde,7611,DL 53 1646,POL-97466588
CUST-1186,Aditya Zaidi,5167,UP 78 9111,POL-31747927
CUST-1187,Sai Dutta,4662,RJ 23 8125,POL-38815840
CUST-1188,Aditi Mehra,8770,UP 37 0725,POL-02193595
CUST-1189,Raghav Taneja,4585,WB 56 9641,POL-59411897
CUST-1190,Dhruv Pal,4991,TN 30 7674,POL-94763778
CUST-1191,Ishaan Pal,5133,WB 97 0252,POL-72276215
CUST-1192,Siddharth Kaul,327,GJ 88 3410,POL-96014825
CUST-1193,Tejas Goel,9210,HR 72 2441,POL-03631358
CUST-1194,Gaurav Kothari,2748,WB 45 5160,POL-52500580
CUST-1195,Janvi Malhotra,6058,UP 49 7042,POL-21609148
CUST-1196,Muskan Prasad,1547,DL 01 9071,POL-84437899
CUST-1197,Parth Singh,5764,PB 64 3595,POL-32523899
CUST-1198,Navya Venkatesh,3711,MP 77 9386,POL-38361026
CUST-1199,Gayatri Deshmukh,2269,WB 67 0021,POL-42171461
CUST-1200,Archana Khurana,6124,RJ 45 1897,POL-49138498
CUST-1201,Naman Mehta,8429,KL 42 0034,POL-43997625
CUST-1202,Pranav Ranganathan,6949,HR 96 0498,POL-72838143
CUST-1203,Vedant Dutta,2784,AP 78 1648,POL-60419183
CUST-1204,Aanya Singh,7901,WB 20 8221,POL-92729394
CUST-1205,Ananya Malhotra,8889,KA 32 3209,POL-69097674
CUST-1206,Tejas Kohli,7067,HR 38 2224,POL-49029224
CUST-1207,Pratyush Joshi,8792,HR 01 8941,POL-89132433
CUST-1208,Anjali Iyer,7792,GJ 84 7704,POL-66044512
CUST-1209,Utkarsh Zutshi,1822,RJ 03 4685,POL-96428155
CUST-1210,Riya Deshmukh,3867,KA 56 1295,POL-32602239
CUST-1211,Avni Jain,8445,MP 43 9421,POL-17014590
CUST-1212,Rishit Ojha,270,TN 56 2240,POL-18005876
CUST-1213,Ashwini Mukherjee,2830,TN 46 1094,POL-69774217
CUST-1214,Sarthak Chawla,6992,HR 97 4748,POL-58757527
CUST-1215,Siddharth Verma,9747,AP 63 7862,POL-38268057
CUST-1216,Gayatri Khanna,4778,WB 94 3519,POL-08493726
CUST-1217,Tejas Hegde,1227,GJ 44 4081,POL-12256214
CUST-1218,Reyansh Jha,2445,MP 45 7249,POL-92759232
CUST-1219,Aavya Sarin,9882,KL 70 3697,POL-54770751
CUST-1220,Nikhil Mishra,6485,RJ 37 3003,POL-69304312
CUST-1221,Prisha Saluja,2068,GJ 90 2332,POL-75128691
CUST-1222,Vihaan Kulkarni,6701,UP 21 4969,POL-39838428
CUST-1223,Naman Bhatt,5144,TN 43 6854,POL-93752220
CUST-1224,Megha Mehta,6640,MP 72 1181,POL-81810041
CUST-1225,Niharika Khurana,9139,RJ 15 6856,POL-45998045
CUST-1226,Deepika Deshmukh,8369,AP 79 7776,POL-68042551
CUST-1227,Vedant Malik,1323,TS 50 3167,POL-23151729
CUST-1228,Saanvi Goswami,1024,HR 38 5642,POL-90066451
CUST-1229,Kunwar Taneja,1782,HR 95 4283,POL-70925814
CUST-1230,Aditi Dutta,5838,HR 01 8128,POL-20052386
CUST-1231,Diya Zutshi,3067,GJ 78 4453,POL-54382071
CUST-1232,Shreyas Nair,4915,RJ 07 5770,POL-06464830
CUST-1233,Shaurya Jain,9238,MP 45 7438,POL-99901349
CUST-1234,Jatin Kohli,909,TN 27 7257,POL-40201607
CUST-1235,Aavya Hegde,8697,DL 47 7953,POL-08342847
CUST-1236,Muskan Kohli,2946,TN 58 2376,POL-83701475
CUST-1237,Anjali Sarkar,5215,PB 15 4489,POL-60630119
CUST-1238,Parth Vohra,978,WB 94 5196,POL-97200223
CUST-1239,Laksh Soni,7606,WB 35 6905,POL-84341341
CUST-1240,Yuvraj Sharma,300,PB 84 9513,POL-20788415
CUST-1241,Om Sarkar,9611,MH 50 8816,POL-75184311
CUST-1242,Dev Menon,1979,KL 38 6569,POL-67866956
CUST-1243,Aniket Bhasin,6939,MH 93 2318,POL-31146783
CUST-1244,Aniket Mishra,6756,TS 25 7829,POL-08473447
CUST-1245,Muskan Ranganathan,6167,UP 38 5396,POL-55542295
CUST-1246,Abhinav Kohli,662,KL 87 1627,POL-57460216
CUST-1247,Bhavna Goswami,8022,PB 46 4659,POL-26063267
CUST-1248,Kanika Goswami,9746,HR 84 3146,POL-78630932
CUST-1249,Vivaan Srivastava,8082,RJ 30 9401,POL-33549945
CUST-1250,Avni Kaul,2775,PB 39 7997,POL-60156253
CUST-1251,Aditi Vohra,4535,MP 39 9123,POL-68172700
CUST-1252,Sai Agarwal,8603,UP 50 2187,POL-74636784
CUST-1253,Nehal Acharya,7292,KL 68 6291,POL-43718207
CUST-1254,Muskan Modi,9632,KA 30 4523,POL-46414375
CUST-1255,Komal Trivedi,3628,DL 62 7277,POL-62030055
CUST-1256,Advik Ojha,1008,TS 99 3500,POL-16714105
CUST-1257,Anushka Malik,7400,HR 58 1143,POL-48746410
CUST-1258,Advik Iyer,8697,KL 44 6086,POL-80675360
CUST-1259,Tejas Zaidi,7913,MP 64 2322,POL-44981865
CUST-1260,Harsh Modi,8240,DL 87 2209,POL-26230650
CUST-1261,Muskan Kashyap,3192,TN 91 3213,POL-80709384
CUST-1262,Aanchal Tyagi,2177,MH 68 6581,POL-39665884
CUST-1263,Om Vaidya,7926,AP 28 8722,POL-39524644
CUST-1264,Ansh Pillai,2360,HR 29 1201,POL-42068443
CUST-1265,Nidhi Thakur,4258,WB 95 3422,POL-70961225
CUST-1266,Tanmay Walia,2563,KL 50 5130,POL-88160646
CUST-1267,Siddharth Ghosh,8685,DL 33 7783,POL-19571298
CUST-1268,Ashwini Gandhi,2614,MP 95 9756,POL-24137045
CUST-1269,Tanmay Chauhan,5092,KA 44 9503,POL-91502000
CUST-1270,Saanvi Vaidya,9485,HR 97 6686,POL-14945759
CUST-1271,Utkarsh Shukla,2930,GJ 30 9741,POL-51106553
CUST-1272,Ankur Iyer,3782,TS 27 5566,POL-90133779
CUST-1273,Tanmay Joshi,2888,GJ 91 8199,POL-12457662
CUST-1274,Gayatri Pillai,5769,AP 40 6546,POL-48768782
CUST-1275,Aditi Rajput,8781,DL 89 0118,POL-56333039
CUST-1276,Sarthak Kashyap,3386,UP 81 2725,POL-58558214
CUST-1277,Nikhil Ghosh,1996,HR 38 6176,POL-58508505
CUST-1278,Jatin Venkatesh,963,HR 05 4806,POL-54504708
CUST-1279,Aanya Kaul,8658,HR 26 8626,POL-39728691
CUST-1280,Bhavna Goswami,1537,HR 32 9346,POL-78411931
CUST-1281,Kajal Zutshi,8220,TS 98 1732,POL-58584588
CUST-1282,Pranav Bhatt,5322,KL 56 1530,POL-11005455
CUST-1283,Nidhi Patil,2576,TN 21 8468,POL-51735863
CUST-1284,Saanvi Dutta,1826,MP 61 2518,POL-79858361
CUST-1285,Arjun Venkatesh,917,MP 80 9859,POL-56413142
CUST-1286,Bhavna Kothari,8143,MH 45 2736,POL-45494800
CUST-1287,Aditya Murthy,8888,AP 59 8020,POL-48459196
CUST-1288,Deepika Choudhury,8308,HR 60 2940,POL-31850193
CUST-1289,Varun Reddy,3332,MP 77 5177,POL-99081924
CUST-1290,Utkarsh Choudhury,3096,MH 98 8732,POL-91565659
CUST-1291,Ansh Srivastava,1483,HR 09 7394,POL-00229001
CUST-1292,Gayatri Pathak,1972,KA 45 4213,POL-03167461
CUST-1293,Kriti Rajput,4584,PB 86 6870,POL-55287507
CUST-1294,Tanmay Rai,610,TS 59 6412,POL-96072343
CUST-1295,Tanmay Kaul,139,MP 55 7247,POL-31302012
CUST-1296,Yuvraj Kohli,6573,TS 70 3808,POL-55236182
CUST-1297,Dev Chatterjee,8429,DL 26 6270,POL-85422106
CUST-1298,Nikhil Mishra,2583,MH 04 9596,POL-55177157
CUST-1299,Nehal Patel,2294,MH 66 9368,POL-63894139
CUST-1300,Jatin Sharma,2393,AP 20 2385,POL-79989658
CUST-1301,Shivam Kapoor,8029,WB 19 3803,POL-46283912
CUST-1302,Reyansh Verma,8231,UP 78 7829,POL-27730412
CUST-1303,Tejas Ghosh,2373,KA 60 1642,POL-43864191
CUST-1304,Bhavna Saini,9756,KL 88 2011,POL-36252209
CUST-1305,Kriti Mishra,8770,TN 21 5701,POL-68358186
CUST-1306,Gaurav Shetty,2391,GJ 62 6213,POL-35806511
CUST-1307,Pranav Ghosh,7651,MH 82 9174,POL-21543162
CUST-1308,Aryan Tyagi,9273,PB 37 1959,POL-24598710
CUST-1309,Parth Ghosh,7648,KA 77 4731,POL-83424781
CUST-1310,Megha Jha,2504,KL 53 0831,POL-21371621
CUST-1311,Gayatri Pillai,6180,WB 95 3160,POL-58772499
CUST-1312,Esha Rao,5951,GJ 47 1859,POL-98872323
CUST-1313,Madhav Saxena,8899,TN 32 0303,POL-86868939
CUST-1314,Mayank Rai,281,RJ 52 5900,POL-59195661
CUST-1315,Varun Acharya,8795,KL 60 7744,POL-91045966
CUST-1316,Laksh Khanna,3560,UP 30 8988,POL-92220486
CUST-1317,Kartik Khan,3535,RJ 26 6853,POL-58997780
CUST-1318,Rishit Kashyap,8273,UP 63 7415,POL-94824956
CUST-1319,Pratyush Rajput,6104,DL 09 3769,POL-21076501
CUST-1320,Aadya Modi,7058,WB 91 0469,POL-54036905
CUST-1321,Aadya Iyer,2044,AP 68 9059,POL-43445128
CUST-1322,Kriti Menon,6480,MP 94 9854,POL-80894857
CUST-1323,Tanmay Deshmukh,7892,UP 31 7336,POL-21681992
CUST-1324,Kunwar Tyagi,7753,PB 32 7207,POL-29355200
CUST-1325,Aanchal Wadhwa,8084,TN 85 2397,POL-44629109
CUST-1326,Kanika Murthy,4309,TS 79 6870,POL-67820892
CUST-1327,Pranav Khurana,766,MH 54 8486,POL-32475116
CUST-1328,Ira Wadhwa,7806,KL 96 9774,POL-73331588
CUST-1329,Nehal Gill,1111,WB 78 9671,POL-51970233
CUST-1330,Ishika Chawla,8546,WB 60 7993,POL-57133986
CUST-1331,Yash Rajput,3036,MH 68 1488,POL-82088013
CUST-1332,Kabir Banerjee,8506,RJ 96 5193,POL-66664674
CUST-1333,Khushi Patil,4738,UP 52 2717,POL-99680439
CUST-1334,Akash Murthy,5391,WB 56 1661,POL-03861588
CUST-1335,Kajal Kaul,5621,KL 29 6447,POL-20221290
CUST-1336,Abhinav Zutshi,3432,UP 53 5328,POL-18143707
CUST-1337,Dev Khan,8274,AP 17 8291,POL-19991281
CUST-1338,Vihaan Khurana,7929,KL 12 0530,POL-48261909
CUST-1339,Prisha Subramanian,3307,GJ 58 0108,POL-08336409
CUST-1340,Kriti Pathak,5825,PB 81 1729,POL-00957280
CUST-1341,Prisha Gupta,9997,WB 44 2297,POL-67456293
CUST-1342,Aashna Kaul,7109,PB 10 4648,POL-49266804
CUST-1343,Ashwini Rao,9687,TN 54 5062,POL-65384573
CUST-1344,Pari Rajput,3970,DL 11 4086,POL-27498256
CUST-1345,Naman Singh,1388,TN 47 5958,POL-50240848
CUST-1346,Aadya Acharya,639,KL 75 1148,POL-85478385
CUST-1347,Kunwar Kulkarni,5447,PB 73 3023,POL-84002874
CUST-1348,Gayatri Parekh,8406,MP 94 8501,POL-01829985
CUST-1349,Nishant Sethi,4264,GJ 33 4831,POL-46160728
CUST-1350,Aryan Vaidya,431,WB 22 9012,POL-18144703
CUST-1351,Shaurya Taneja,6026,AP 25 9619,POL-09687920
CUST-1352,Akansha Dutta,3842,KL 46 5461,POL-37215684
CUST-1353,Manan Ojha,7049,TS 58 4846,POL-49675573
CUST-1354,Shaurya Pathak,193,KA 02 6673,POL-37950197
CUST-1355,Nakul Gupta,9638,MH 96 9273,POL-65448412
CUST-1356,Nehal Kohli,5092,RJ 32 7687,POL-89436293
CUST-1357,Pari Bhasin,4276,TS 16 9428,POL-97885369
CUST-1358,Madhav Luthra,9279,WB 23 6420,POL-90360524
CUST-1359,Naman Shetty,8839,TS 09 9657,POL-40028328
CUST-1360,Aanchal Pal,2212,TN 75 5644,POL-37281889
CUST-1361,Ananya Malhotra,206,KA 91 5706,POL-82573974
CUST-1362,Archana Khanna,5736,AP 21 2898,POL-90071779
CUST-1363,Ishika Wadhwa,632,AP 80 7661,POL-10394340
CUST-1364,Shreyas Mahajan,3756,WB 17 1230,POL-21078895
CUST-1365,Pranav Deshmukh,7439,TS 11 3640,POL-11481708
CUST-1366,Pranav Sarin,1164,PB 77 7011,POL-82344339
CUST-1367,Nehal Sarin,8298,TS 53 7801,POL-65506367
CUST-1368,Deepika Khan,995,UP 77 1106,POL-43118373
CUST-1369,Nishant Sarkar,9515,TN 13 7954,POL-71737555
CUST-1370,Chhavi Rai,189,GJ 49 4024,POL-71438416
CUST-1371,Riya Jha,7074,UP 31 8188,POL-69733575
CUST-1372,Aanchal Mahajan,9823,TN 77 4580,POL-09996647
CUST-1373,Abhinav Malhotra,1337,RJ 73 2969,POL-80285192
CUST-1374,Aanchal Saini,9909,HR 21 7696,POL-98218228
CUST-1375,Varun Bhatt,8989,MH 14 1446,POL-29926532
CUST-1376,Archana Grover,5458,GJ 13 8399,POL-83236517
CUST-1377,Ishika Shukla,822,MH 14 2261,POL-01894938
CUST-1378,Aditya Ranganathan,8453,AP 99 8970,POL-29705949
CUST-1379,Anushka Zutshi,4951,DL 89 4483,POL-53134690
CUST-1380,Shaurya Mukherjee,2223,PB 73 6511,POL-59207275
CUST-1381,Niharika Subramanian,5163,PB 65 6279,POL-42501558
CUST-1382,Aashna Shah,5833,KA 30 7204,POL-12261304
CUST-1383,Raghav Gupta,3873,KL 93 3544,POL-91771762
CUST-1384,Akansha Khanna,5870,MP 21 6189,POL-61302139
CUST-1385,Kunwar Sarkar,5556,PB 32 1682,POL-29762644
CUST-1386,Komal Shah,8872,DL 79 4874,POL-91138874
CUST-1387,Anjali Chawla,9700,WB 87 1276,POL-97367435
CUST-1388,Akansha Kothari,109,RJ 78 7073,POL-57132126
CUST-1389,Madhav Deshmukh,4551,PB 68 5535,POL-84625353
CUST-1390,Siddharth Vats,320,UP 53 3913,POL-32050173
CUST-1391,Ansh Saini,3050,UP 40 9909,POL-59533369
CUST-1392,Myra Subramanian,5966,KA 11 5642,POL-55678473
CUST-1393,Garima Trivedi,982,RJ 61 5205,POL-71174362
CUST-1394,Diya Walia,3618,KL 38 6923,POL-85614503
CUST-1395,Sarthak Vats,317,AP 43 7150,POL-44497543
CUST-1396,Navya Choudhury,4831,AP 27 1529,POL-85644673
CUST-1397,Nidhi Hegde,6670,RJ 02 3739,POL-55347215
CUST-1398,Akash Mehta,8895,KL 91 0740,POL-79237090
CUST-1399,Yash Rao,2007,KL 76 4836,POL-11068478
CUST-1400,Anshika Srivastava,4887,KA 99 2952,POL-47002650
CUST-1401,Tejas Vaidya,4456,GJ 26 1088,POL-63254642
CUST-1402,Yuvraj Pal,1373,TN 57 4897,POL-61262318
CUST-1403,Nikhil Pandey,6493,PB 46 8604,POL-95183150
CUST-1404,Megha Kashyap,9776,MH 12 4157,POL-80152365
CUST-1405,Deepika Tyagi,1917,MP 44 7289,POL-03720584
CUST-1406,Ananya Malik,235,DL 66 7577,POL-29703636
CUST-1407,Naman Yadav,2487,GJ 91 5347,POL-71654233
